model,year,price,transmission,mileage,fuel type,engine size
 Focus,2016,8000,Manual,24017,Petrol,1.0
 Focus,2019,13400,Manual,24017,Petrol,1.0
 Focus,2019,14600,Manual,24017,Petrol,1.5
 Focus,2016,9450,Manual,24017,Diesel,1.6
 Focus,2015,9999,Manual,24017,Diesel,1.6
 Focus,2016,10699,Automatic,24017,Petrol,1.0
 Focus,2018,12849,Manual,24017,Petrol,1.0
 Focus,2020,24999,Manual,24017,Petrol,2.3
 Focus,2018,11999,Manual,24017,Petrol,1.5
 Focus,2019,19500,Manual,24017,Diesel,1.5
 Focus,2019,19575,Automatic,24017,Diesel,1.5
 Focus,2019,19315,Automatic,24017,Diesel,2.0
 Focus,2019,16440,Automatic,24017,Petrol,1.0
 Focus,2019,21660,Automatic,24017,Diesel,2.0
 Focus,2019,19000,Automatic,24017,Diesel,2.0
 Focus,2019,16040,Manual,24017,Petrol,1.0
 Focus,2019,14560,Manual,24017,Petrol,1.0
 Focus,2019,16040,Manual,24017,Diesel,1.5
 Focus,2019,18650,Automatic,24017,Diesel,1.5
 Focus,2019,19015,Manual,24017,Diesel,1.5
 Focus,2019,19560,Automatic,24017,Diesel,1.5
 Focus,2018,11000,Manual,24017,Petrol,1.0
 Focus,2019,16920,Manual,24017,Petrol,1.5
 Focus,2017,11000,Manual,24017,Petrol,1.0
 Focus,2019,18785,Manual,24017,Diesel,1.5
 Focus,2019,18580,Manual,24017,Diesel,1.5
 Focus,2019,18990,Automatic,24017,Diesel,2.0
 Focus,2019,19340,Automatic,24017,Diesel,1.5
 Focus,2019,19390,Automatic,24017,Diesel,1.5
 Focus,2019,16035,Manual,24017,Petrol,1.0
 Focus,2019,15540,Manual,24017,Diesel,1.5
 Focus,2019,15335,Manual,24017,Petrol,1.0
 Focus,2019,16425,Manual,24017,Petrol,1.0
 Focus,2019,15940,Manual,24017,Diesel,1.5
 Focus,2019,21420,Automatic,24017,Diesel,2.0
 Focus,2019,20300,Automatic,24017,Diesel,1.5
 Focus,2019,16040,Manual,24017,Petrol,1.0
 Focus,2019,16400,Manual,24017,Petrol,1.0
 Focus,2019,17300,Automatic,24017,Petrol,1.0
 Focus,2019,16395,Manual,24017,Diesel,1.5
 Focus,2019,16655,Manual,24017,Petrol,1.5
 Focus,2019,15335,Manual,24017,Petrol,1.0
 Focus,2019,15235,Manual,24017,Petrol,1.0
 Focus,2019,15335,Manual,24017,Petrol,1.0
 Focus,2019,15435,Manual,24017,Petrol,1.0
 Focus,2019,14510,Manual,24017,Petrol,1.0
 Focus,2019,20950,Automatic,24017,Diesel,2.0
 Focus,2019,19175,Automatic,24017,Diesel,1.5
 Focus,2015,7500,Manual,24017,Petrol,1.0
